"orden","n_comp","renglon","cod_art","cantidad","importe_neto","precio_neto","porc_iva","adicional","precio_lista","total_renglon","cuales","revend"
4,"B0000301262282",1,"1/100119-7",14.0,2502.8198832,206.6033,21.0,"",249.99,3499.86,"X",411635
4,"B0000301262282",2,"1/100309-0",2.0,572.0816976,330.5702,21.0,"",399.99,799.98,"X",411635
4,"B0000301262282",3,"1/100441-9",1.0,193.0752488,223.1322,21.0,"",269.99,269.99,"X",411635
4,"B0000301262282",4,"1/100657-4",7.0,1501.7019416,247.9256,21.0,"",299.99,2099.93,"X",411635
4,"B0000301262282",5,"1/100730-9",1.0,271.7384488,314.0413,21.0,"",379.99,379.99,"X",411635
4,"B0000301262282",6,"1/100766-5",1.0,286.0408488,330.5702,21.0,"",399.99,399.99,"X",411635
4,"B0000301262282",7,"1/100770-6",1.0,286.0408488,330.5702,21.0,"",399.99,399.99,"X",411635
4,"B0000301262282",8,"1/100773-3",2.0,271.7312976,157.0165,21.0,"",189.99,379.98,"X",411635
4,"B0000301262282",9,"1/100774-5",2.0,271.7312976,157.0165,21.0,"",189.99,379.98,"X",411635
4,"B0000301262282",10,"1/100782-5",1.0,429.0648488,495.8595,21.0,"",599.99,599.99,"X",411635
4,"B0000301262282",11,"1/100785-3",4.0,1229.9777952,355.3636,21.0,"",429.99,1719.96,"X",411635
4,"B0000301262282",12,"1/100832-2",1.0,193.0752488,223.1322,21.0,"",269.99,269.99,"X",411635
4,"B0000301262282",13,"1/100846-5",1.0,250.2848488,289.2479,21.0,"",349.99,349.99,"X",411635
4,"B0000301262282",14,"1/100851-9",2.0,471.9648976,272.719,21.0,"",329.99,659.98,"X",411635
4,"B0000301262282",15,"1/100855-7",1.0,972.5560488,1123.9586,21.0,"",1359.99,1359.99,"X",411635
4,"B0000301262282",16,"1/100896-8",14.0,4705.3894832,388.4214,21.0,"",469.99,6579.86,"X",411635
4,"B0000301262282",17,"1/100902-8",3.0,429.0505464,165.2809,21.0,"",199.99,599.97,"X",411635
4,"B0000301262282",18,"1/100903-0",2.0,286.0336976,165.2809,21.0,"",199.99,399.98,"X",411635
4,"B0000301262282",19,"1/100904-2",2.0,286.0336976,165.2809,21.0,"",199.99,399.98,"X",411635
4,"B0000301262282",20,"1/100914-6",3.0,536.3185464,206.6033,21.0,"",249.99,749.97,"X",411635
4,"B0000301262282",21,"1/100922-6",1.0,143.0168488,165.2809,21.0,"",199.99,199.99,"X",411635
4,"B0000301262282",22,"1/100935-7",1.0,371.8552488,429.7438,21.0,"",519.99,519.99,"X",411635
4,"B0000301262282",23,"1/100966-4",1.0,214.5288488,247.9256,21.0,"",299.99,299.99,"X",411635
4,"B0000301262282",24,"1/100983-6",2.0,572.0816976,330.5702,21.0,"",399.99,799.98,"X",411635
4,"B0000301262282",25,"1/100992-8",1.0,143.0168488,165.2809,21.0,"",199.99,199.99,"X",411635
4,"B0000301262282",26,"1/100993-0",3.0,429.0505464,165.2809,21.0,"",199.99,599.97,"X",411635
4,"B0000301262282",27,"1/100995-5",2.0,400.4528976,231.3966,21.0,"",279.99,559.98,"X",411635
4,"B0000301262282",28,"4/100996-7",1.0,0.010216,0.0082,21.0,"",0.01,0.01,"X",411635
4,"B0000301262282",29,"4/100997-9",1.0,0.010216,0.0082,21.0,"",0.01,0.01,"X",411635
4,"B0000301262282",30,"7/100998-1",1.0,424.9774272,429.7438,21.0,"",519.99,519.99,"X",411635
