"orden","n_comp","fecha_emision","cod_cliente","figura","importe","bonif_sin_imp","imp_gravado","imp_exento","imp_iva","montib","gastadmi","boniflibro","bonifcosme","bonifpract","porclider","boniflider","bonifivadic","zona"
1,"B0000301262279","2021-10-27",411576,2,5594.33,693.98,4623.41,0.0,970.92,0.0,"118.28",0.0,"371.99","322.00","","0.00",0.0,221
2,"B0000301262280","2021-10-27",411606,2,2497.75,384.98,2064.25,0.0,433.49,0.0,"52.81",0.0,"307.99","77.00","","0.00",0.0,221
3,"B0000301262281","2021-10-27",411608,2,5344.95,647.99,4417.32,0.0,927.64,0.0,"113.01",0.0,"223.99","423.99","","0.00",0.0,221
5,"B0000301262283","2021-10-27",418819,2,6683.14,1947.94,5523.25,0.0,1159.88,0.0,"141.30",0.0,"1475.45","472.48","","0.00",0.0,221
7,"B0000301262285","2021-10-27",424888,2,6302.14,1430.96,5208.38,0.0,1093.76,0.0,"133.25",0.0,"737.98","692.98","","0.00",0.0,221
8,"B0000301262286","2021-10-27",430684,2,3822.76,577.98,3159.31,0.0,663.45,0.0,"80.83",0.0,"395.99","181.99","","0.00",0.0,221
9,"B0000301262287","2021-10-27",458300,2,4235.47,673.98,3500.39,0.0,735.08,0.0,"89.55",0.0,"487.99","185.99","","0.00",0.0,221
10,"B0000301262288","2021-10-27",527369,2,4224.25,554.98,3491.12,0.0,733.13,0.0,"89.31",0.0,"275.99","278.99","","0.00",0.0,221
11,"B0000301262289","2021-10-27",527439,2,8836.68,1874.96,7303.04,0.0,1533.64,0.0,"186.84",0.0,"906.97","967.98","","0.00",0.0,221
12,"B0000301262290","2021-10-27",536046,2,3176.1,370.99,2624.87,0.0,551.22,0.0,"67.15",0.0,"219.99","151.00","","0.00",0.0,221
13,"B0000301262291","2021-10-27",539737,2,3977.01,586.98,3286.78,0.0,690.22,0.0,"84.09",0.0,"381.99","204.99","","0.00",0.0,221
14,"B0000301262292","2021-10-27",544786,10,12142.89,3163.39,9081.85,0.0,3061.04,272.46,"256.74",0.0,"1924.94","1238.45","","0.00",1153.85,221
15,"B0000301262293","2021-10-27",557932,2,3338.51,511.98,2759.1,0.0,579.41,0.0,"70.59",0.0,"371.99","139.99","","0.00",0.0,221
17,"B0000301262295","2021-10-27",574352,2,6236.79,684.99,5154.37,0.0,1082.42,0.0,"131.87",0.0,"115.99","568.99","","0.00",0.0,221
18,"B0000301262296","2021-10-27",601006,2,7482.63,1885.46,6183.99,0.0,1298.64,0.0,"158.21",0.0,"1007.97","877.48","","0.00",0.0,221
