cod_cliente
411635
423495
574303
622619
710366
718732
792035
810893
851336
881400
885251
926567
1007590
1095074
1115470
1144376
1233178
1256330
1282617
1287609
1307886
1328807
1382213
1415174
2045411
2045412
2051844
2061656
2067035
2086528
2093187
2093222
2104530
2120003
2121403
2128960
2128961
2128965
2133609
2133610
2145594
2155807
2155865
2161640
2180403
2193835
2193862
2199325
2199329
2199334
2199342
2206749
2211916
2211920
2218121
2227512
2232761
2242229
2242236
2247990
2247991
2251815
2260271
2264795
2264797
2270036
2270039
2276317
2276320
2276324
2277011
2280195
2280198
2283854
2283875
2283878
2288660
2288663
2289557
2291924
2295025
2295904
2299486
2299677
2299678
2299780
2303545
2303616
2303621
2306426
2306523
2306530
2309885
698387
786353
993347
1025033
1092196
1172440
1195198
1261787
1284896
1350569
1361754
1368316
1379978
2045500
2109929
2122908
2136989
2140003
2161749
2184458
2188419
2193657
2199231
2206663
2231074
2231076
2243401
2252802
2266473
2270255
2274401
2277870
2280964
2285319
2285323
2288045
2288047
2289085
2294470
2294738
2294739
2294747
2294754
2296516
2296524
2296893
2299594
2299605
2299630
2300460
2303033
2303034
2303159
2303161
2303251
2303358
2303463
2303465
2305435
2305437
2305439
2311163
2311164
2311370
1197717
2034118
2041206
2155883
2206650
2206699
2243404
2261082
2266497
2270245
2270254
2270257
2270259
2274387
2277873
2285321
2289399
2289405
2294740
2294756
2303254
2303359
2311349
2274388
0930393
2076666
2261088
2299608
2289032
