"orden","n_comp","fecha_emision","cod_cliente","figura","importe","bonif_sin_imp","imp_gravado","imp_exento","imp_iva","montib","gastadmi","boniflibro","bonifcosme","bonifpract","porclider","boniflider","bonifivadic","zona"
19,"B0000301258932","2021-10-27",698387,10,12347.55,3073.44,9234.92,0.0,3112.63,277.05,"261.07",0.0,"1718.96","1354.48","","0.00",1173.3,22
26,"B0000301258939","2021-10-27",786353,2,4351.41,1240.47,3596.21,0.0,755.2,0.0,"92.00",0.0,"986.98","253.49","","0.00",0.0,22
45,"B0000301258958","2021-10-27",993347,2,5855.67,1517.96,4839.4,0.0,1016.27,0.0,"123.81",0.0,"1016.97","500.98","","0.00",0.0,22
47,"B0000301258960","2021-10-27",1025033,2,6961.53,1405.46,5753.33,0.0,1208.2,0.0,"147.19",0.0,"500.99","904.47","","0.00",0.0,22
53,"B0000301258966","2021-10-27",1092196,10,10252.69,1973.97,7668.14,0.0,2584.55,230.04,"216.78",0.0,"500.98","1472.98","","0.00",974.24,22
57,"B0000301258970","2021-10-27",1172440,2,9334.69,2822.43,7714.62,0.0,1620.07,0.0,"197.37",0.0,"2160.94","661.48","","0.00",0.0,22
62,"B0000301258975","2021-10-27",1195198,2,5746.94,1324.47,4749.54,0.0,997.4,0.0,"121.51",0.0,"719.98","604.49","","0.00",0.0,22
64,"B0000301258977","2021-10-27",1197717,2,4460.2,1133.96,3686.12,0.0,774.08,0.0,"94.30",0.0,"773.98","359.98","","0.00",0.0,22
80,"B0000301258993","2021-10-27",1284896,2,4219.62,799.47,3487.29,0.0,732.33,0.0,"89.22",0.0,"371.99","427.48","","0.00",0.0,22
94,"B0000301259007","2021-10-27",1350569,2,4678.3,1060.46,3866.37,0.0,811.94,0.0,"98.91",0.0,"584.98","475.48","","0.00",0.0,22
101,"B0000301259014","2021-10-27",1361754,2,7621.04,1589.96,6298.38,0.0,1322.66,0.0,"161.13",0.0,"620.98","968.98","","0.00",0.0,22
104,"B0000301259017","2021-10-27",1379978,10,14176.37,3712.88,10602.72,0.0,3573.65,318.08,"299.74",0.0,"2200.93","1511.96","","0.00",1347.08,22
135,"B0000301259048","2021-10-27",2034118,10,12066.46,2758.45,9024.69,0.0,3041.77,270.74,"255.12",0.0,"1242.97","1515.47","","0.00",1146.59,22
142,"B0000301259055","2021-10-27",2041206,2,4362.66,709.47,3605.5,0.0,757.16,0.0,"92.24",0.0,"81.00","628.48","","0.00",0.0,22
146,"B0000301259059","2021-10-27",2045500,2,9217.77,2556.92,7617.99,0.0,1599.78,0.0,"194.89",0.0,"1700.45","856.47","","0.00",0.0,22
167,"B0000301259080","2021-10-27",2076666,2,5053.78,602.98,4176.68,0.0,877.1,187.95,"106.85",0.0,"199.99","402.99","","0.00",0.0,22
179,"B0000301259092","2021-10-27",2109929,2,4777.4,1063.47,3948.27,0.0,829.14,0.0,"101.01",0.0,"560.98","502.48","","0.00",0.0,22
189,"B0000301259102","2021-10-27",2122908,2,5497.15,1868.96,4543.1,0.0,954.05,0.0,"116.23",0.0,"1718.96","150.00","","0.00",0.0,22
204,"B0000301259117","2021-10-27",2136989,2,5028.71,1447.46,4155.96,0.0,872.75,0.0,"106.32",0.0,"1139.97","307.49","","0.00",0.0,22
207,"B0000301259120","2021-10-27",2140003,2,6138.61,1200.95,5073.23,0.0,1065.38,0.0,"129.79",0.0,"342.99","857.96","","0.00",0.0,22
216,"B0000301259129","2021-10-27",2155883,2,7544.31,1644.95,6234.96,0.0,1309.34,0.0,"159.51",0.0,"684.98","959.97","","0.00",0.0,22
221,"B0000301259134","2021-10-27",2161749,2,6005.95,660.99,4963.59,0.0,1042.35,0.0,"126.99",0.0,"117.99","543.00","","0.00",0.0,22
257,"B0000301259170","2021-10-27",2184458,2,3206.76,365.99,2650.22,0.0,556.55,0.0,"67.80",0.0,"203.99","162.00","","0.00",0.0,22
264,"B0000301259177","2021-10-27",2193657,2,5421.52,902.97,4480.6,0.0,940.93,0.0,"114.63",0.0,"257.99","644.98","","0.00",0.0,22
276,"B0000301259189","2021-10-27",2206650,2,6320.03,1333.47,5223.16,0.0,1096.86,0.0,"133.63",0.0,"566.98","766.48","","0.00",0.0,22
278,"B0000301259191","2021-10-27",2206663,2,5396.0,1037.98,4459.51,0.0,936.5,0.0,"114.09",0.0,"335.99","701.98","","0.00",0.0,22
283,"B0000301259196","2021-10-27",2206699,2,5775.5,1156.47,4773.14,0.0,1002.36,0.0,"122.11",0.0,"479.98","676.48","","0.00",0.0,22
309,"B0000301259222","2021-10-27",2231074,2,5248.37,982.47,4337.5,0.0,910.87,0.0,"110.97",0.0,"284.99","697.48","","0.00",0.0,22
310,"B0000301259223","2021-10-27",2231076,2,6689.83,1261.47,5528.78,0.0,1161.04,0.0,"141.45",0.0,"404.99","856.48","","0.00",0.0,22
326,"B0000301259239","2021-10-27",2243404,2,9317.91,1958.96,7700.75,0.0,1617.16,0.0,"197.01",0.0,"749.97","1208.99","","0.00",0.0,22
338,"B0000301259251","2021-10-27",2252802,2,3462.62,940.47,2861.67,0.0,600.95,0.0,"73.21",0.0,"791.97","148.49","","0.00",0.0,22
344,"B0000301259257","2021-10-27",2261082,2,5400.57,1453.46,4463.28,0.0,937.29,0.0,"114.19",0.0,"1040.98","412.48","","0.00",0.0,22
345,"B0000301259258","2021-10-27",2261088,2,3506.03,557.98,2897.55,0.0,608.49,0.0,"74.13",0.0,"75.00","482.98","","0.00",0.0,22
352,"B0000301259265","2021-10-27",2266473,2,4032.69,952.47,3332.81,0.0,699.89,0.0,"85.26",0.0,"590.98","361.48","","0.00",0.0,22
353,"B0000301259266","2021-10-27",2266497,2,4517.92,967.47,3733.82,0.0,784.1,0.0,"95.52",0.0,"473.99","493.48","","0.00",0.0,22
359,"B0000301259272","2021-10-27",2270245,2,2575.41,408.98,2128.44,0.0,446.97,0.0,"54.45",0.0,"381.99","27.00","","0.00",0.0,22
360,"B0000301259273","2021-10-27",2270257,2,3466.19,506.98,2864.62,0.0,601.57,0.0,"73.29",0.0,"0.00","506.98","","0.00",0.0,22
361,"B0000301259274","2021-10-27",2270259,2,3925.95,626.99,3244.59,0.0,681.36,0.0,"83.01",0.0,"463.99","162.99","","0.00",0.0,22
367,"B0000301259280","2021-10-27",2274387,2,5936.94,2128.46,4906.56,0.0,1030.38,0.0,"125.53",0.0,"2030.96","97.50","","0.00",0.0,22
368,"B0000301259281","2021-10-27",2274401,2,3027.94,435.98,2502.43,0.0,525.51,0.0,"64.02",0.0,"295.99","139.99","","0.00",0.0,22
373,"B0000301259286","2021-10-27",2277870,2,5257.53,1333.46,4345.07,0.0,912.46,0.0,"111.16",0.0,"878.98","454.48","","0.00",0.0,22
374,"B0000301259287","2021-10-27",2280964,2,2944.18,437.98,2433.2,0.0,510.97,0.0,"62.25",0.0,"315.99","121.99","","0.00",0.0,22
